IDS_SCENARIO_GAISERIC "盖塞里克 (406)"
396209 "侦察兵报告：\n\n- 查理又被称为卡尔，是注定要成为查理曼大帝的人，但他现在还未独揽大权。他与弟弟卡洛曼 (红色) 共同继承了法兰克人的王位。查理必须想办法让弟弟适时死去，这样才能夺取弟弟的领地。然后，他还须应对来自四个不同方向的威胁。\n\n- 东北方向是撒克逊人的荒野森林。想击败撒克逊人 (灰色) 就如同水中捞月。他们茂密的森林里布满了可怕的撒克逊步兵。\n\n- 东边是阿瓦尔人 (橙色)，来自草原的游牧骑兵。他们的可汗统治着东部某个巨大的环形要塞。阿瓦尔人主要以骑兵和骑射手作战。\n\n- 在南面，伦巴第人 (黄色) 封锁了通往罗马的大部分路线。伦巴第人主要以步兵、骑兵和弓兵作战。\n\n- 在西南部，伍麦叶王朝的统治横跨整个比利牛斯山脉。查理的祖父查理马特曾击退过他们的骑兵入侵，但他们仍然是一个强大且技术先进的敌人。如果查理能战胜他们，他也许能利用他们的知识。伍麦叶人主要以骑兵和骆驼骑兵作战。\n\n- 多个小势力 (青色) 居住在附近地域。击败他们可以获取资源。查理的表兄弟塔西洛统治着巴伐利亚，那里也是他与查理作对的根据地。可能需要用上一些强硬手段才能让他服软。\n\n- 最后，教皇 (紫色) 居住在罗马，这是一座曾经无比辉煌的城市。无论如何，任何有抱负的皇帝终其一生都应该至少前往这座城市一次。"
396210 "卡洛曼"
396211 "约克的阿尔昆"
396212 "执事保罗"
396213 "奥尔良的狄奥多尔夫"
396214 "佩特鲁斯·格拉玛提库斯"
396215 "德西德里乌斯"
396216 "维杜金德"
396217 "艾比"
396218 "赫斯"
396219 "教宗阿德里安"
396220 "盎格鲁-撒克逊人"
396221 "布列塔尼人"
396222 "阿基坦"
396223 "巴伐利亚"
396224 "教宗利奥三世"
396225 "年份：公元 <Year> 年"
396226 "+ 确保卡洛曼死亡。"
396227 "帝王分数：<Imperial Score>"
396228 "+ 获得 100 帝王分数。"
396229 "帝王分数的增加方式：寻找学者 (每位 +10)、建造一座世界奇观 (+20)、击败敌人 (每个 +20)，以及完成次要目标 (每个 +10)。"
396230 "- 将查理曼带到教皇面前。"
396231 "- 找到 <Scholar Count>/4 名学者 (持有圣物的僧侣)。"
396232 "- 找到 <Scholar Count>/4 名学者。"
396233 "- 招降 <Saxon Leaders Converted>/3 名撒克逊人领袖。"
396234 "- 通过破坏其要塞来废黜巴伐利亚的塔西洛。"
396235 "- 保护巴塞罗那。"
396236 "<RED>卡洛曼：查理，你和我注定要带领我们的人民走向伟大！"
396237 "<RED>卡洛曼：帮帮我，兄弟。敌人正在攻击我们。"
396238 "<RED>卡洛曼：我不行了，兄弟。请原谅我。我的土地和追随者都会听你的号令。"
396239 "<RED>卡洛曼：兄弟，你为什么要这样做？如果你想开战，那就来吧！"
396240 "<RED>卡洛曼：最亲近的人才是最可怕的敌人。"
396241 "<RED>卡洛曼：我的追随者们，为我复仇！"
396242 "只要其市场还存在，巴塞罗那就会继续提供黄金。"
396243 "教皇赐福查理曼。他会以神圣的力量战斗。"
396244 "被击败的撒克逊人壮大了查理曼的军队。可在兵营训练侍从战士了。步兵的训练速度加快。"
396245 "意大利的财富流入了法兰克人的手中。黄金收集速率提升，且农田可以产出黄金。"
396246 "阿瓦尔堡垒里满是他们劫掠而来的战利品。"
396247 "伍麦叶王朝带来了新科技。城堡的工作速度更快，僧侣可以被动治疗附近的单位。"
396248 "巴伐利亚领主投降了，他的行军城堡现在是你的了。"
396249 "亚琛大教堂必须在法兰克人的领土中 (靠近初始位置) 建造。"
396250 "帝王分数为 70 时解锁帝王时代。"
396251 "现在可以研究帝王时代。"
396252 "随着查理曼的去世，你将无法再解锁帝王时代。"
396253 "- 查理曼必须存活。"

// Charlemagne (768)

398841 "768 年，法兰克国王丕平在战役中阵亡，他是查理马特之子，也是教皇的宠儿。"
398842 "根据法兰克的律法，法兰克及其土地分给了他的两个儿子。其中小儿子卡洛曼获得了最大的份额。"
398843 "也许丕平原本打算让小儿子来继承他。尽管另一个儿子查理比较年长，但他是非婚生的。此外，丕平之所以能当上国王，是因为他自己的哥哥当时选择了退出来。"
398844 "在最坏的情况下，两兄弟会找到一种共用权利的方法。"
398845 "但是，与一个人的意志和铁腕的力量相比，父亲的意图又算得了什么呢？"
398851 "在 800 年的圣诞节，查理跪在了罗马的祭坛前祈祷。"
398852 "令他明显意外的是，当他低下头时，教皇给他戴上了一顶镶有宝石的皇冠。他被加冕为罗马皇帝。"

//
// Ragnar (850)
//

396301 "北欧人"
396302 "诺森布里亚人"
396303 "韦塞克斯和盎格利亚"
396304 "盖尔人和不列颠人"
396305 "法兰克"
396306 "部落民族"
396307 "维京掠夺者"
396308 "1. 维京国王从不受人摆布。探索、征服、定居，书写属于你自己的传说吧。\n\n2. 你是天生的掠夺者。摧毁敌人的建筑，并根据建筑的价值获得黄金。有时，即使是一座小农舍也可能藏有意外的财富。\n\n3. 占领斯堪的纳维亚的战士大厅 (世界奇观) 以提高你的人口上限。这也是统一挪威、瑞典和丹麦的唯一方法。\n\n4. 探索传奇目标并重建异教祭坛 (基督徒砍伐的特殊树木) 以获得符文石 (石料)。符文石可以用来在战士大厅和异教祭坛研究强大的科技。\n\n5. 一旦你统治一个王国后，你就可以通过举行献祭，在战士大厅获得符文石或其他加成。你也可以在异教祭坛向神明祈祷，获得暂时的加成。明智的国王会充分利用众神的力量。\n\n6. 通过在有圆形闪光标记的位置建造长屋 (大庄园)，前往异国土地上定居。在新土地上的第一座长屋会生成一个村民。你也可以在突袭过程中俘虏村民。\n\n7. 修改了若干个单位：侍从战士改为重型装甲单位、龙头战舰的射程缩短且船只移动速度加快。\n\n8. 突袭往往危机重重，尤其是当你的战士只有寥寥数人的时候。在寡不敌众的情况下，撤退并择日再战才是明智的选择。\n\n9. 走海路永远是到达任何地方最快的方式。\n\n10. 船只会随着时间逐渐损坏。突袭时带上村民以便修理受损的船只。西边的开阔海域会加速船只的损坏。在开拓西边的领土时，应及时靠岛修船。\n\n11. 爱尔兰以及苏格兰附近的岛屿是早期突袭的首选目标。\n\n12. 如果你有多余的黄金且需要食物，可在磨坊和长屋购买补给。\n\n13. 其他维京战队会不分青红皂白地突袭海岸。他们甚至会攻击你的战士大厅，或与你自己的掠夺者就战利品发生冲突。"
396309 "侦察兵报告：\n\n- 不要过早被英格兰和法兰西的巨大财富所诱惑。一个合格的维京人应该通过突袭爱尔兰和苏格兰附近的岛屿来打出名号。那里的修道院离海很近，且掠夺时机也已经成熟。\n\n- 这些岛屿也非常适合作为小型突袭营地，可以让村民在此捕鱼和放牧，以及修补船只。突袭中获得的牲畜也可以带到此处。捕鱼和放牧总会比耕种更有优势。不要忽视这些聚落点，它们可以提供招募军队所需的食物。\n\n- 其次，许多维京英雄都在寻求优秀的首领。在旅途中，搜寻并找到“首领”罗夫、“白色”奥拉夫、哈斯泰因和其他英雄。\n\n- 英格兰分裂为两个王国。北方的诺森布里亚人以移动缓慢的步兵和骑兵作战，而韦塞克斯人则由步弓手、骑兵和身披重甲的步兵组成。在你指挥大军之前，不要挑战他们的城市约克和伦敦堡。相反，派兵骚扰他们的沿海聚落点，并当他们派军队来攻打你时，迅速撤回船上。这样既可以消耗他们的兵力，又可以保存自己的实力。当征服的时机成熟时，记得保护英格兰的农田，好让你的人民在那里定居。\n\n- 对法兰西和更东边的土地也是如此，不过对那些地方进行袭击时需要利用到河流。在没有组织起最强大的军队之前，别妄想攻克巴黎，但可以全力掠夺其他城市。德意志的撒克逊人现在是法兰克人的臣民，他们会与你为敌。但他们的土地上有许多被基督教传教士砍伐的神圣世界树。在树桩上方建造祭坛让这些树复原，可以为你赢得声望。\n\n- 再往东，加尔达里基是一片黑暗的土地，在这里穿行的最好方式是走水路。其茂密的森林会逐步变成开阔的草原，且会有游牧部落在上面游荡。他们没有什么可以掠夺的东西，但可以试着与之进行贸易。\n\n- 至于你们自己民族的土地，则被独立的首领们所瓜分。北欧人需要的是一位统一的领袖，能团结三个王国，带领北欧人走向辉煌。\n\n- 最后，海洋就是你的天地。记得善加运用。"
396310 "维京葬礼"
396311 "建造<b>战士大厅<b> (<cost>)\n维京人聚集的盛宴之地。可训练维京人单位。在攻击城市时，可建造在敌方领土内，以减少在路途上的时间。\n<hp> <attack> <armor> <piercearmor> <range>"
396312 "建造<b>异教祭坛<b> (<cost>)\n旧神的祭坛。建造在被砍伐的世界树上以获得符文。\n<hp> <attack> <armor> <piercearmor> <range>"
396313 "建造<b>长屋<b> (<cost>) \n寒冷的土地上的温暖之地。可作为食物资源的聚集点。\n<hp> <attack> <armor> <piercearmor> <range>"
396314 "梅尔·布里格特"
396315 "罗里克"
396316 "西格德·埃斯坦森"
396317 "拉格瓦尔德·埃斯坦森"
396318 "“扁鼻”凯提尔"
396319 "“深思者”奥德"
396320 "格里姆·坎班"
396321 "“白色”奥拉夫"
396322 "阿斯劳格"
396323 "“麻烦制造者”留里克"
396324 "“陌生人”迪勒"
396325 "迅捷的艾瑞克"
396326 "坚实的奥拉夫"
396327 "凶猛的巴洛格"
396328 "首领罗夫"
396329 "梅尔·塞克纳尔"
396330 "“强者”罗伯特"
396331 "康斯坦丁一世"
396332 "埃塞尔雷德国王"
396333 "阿尔佛雷德伯爵"
396334 "哈斯泰因"
396335 "埃里克首领"
396336 "“黑色”哈夫丹首领"
396337 "哈拉尔·克拉克国王"
396338 "拉格弗里德国王"
396339 "埃斯泰因·贝里首领"
396340 "西贝贾"
396341 "罗德里国王"
396342 "帕帕尔人"
396343 "萨米人"
396344 "弗里斯兰人"
396345 "撒克逊人"
396346 "埃德蒙国王"
396347 "拉格纳·洛德布罗克"
396348 "巨蛇"
396349 "交易获取<b>补给<b> (<cost>)\n用黄金等价换取食物。"
396350 "雷当"
396351 "盾墙"
396352 "乌尔夫贝特剑"
396353 "研究<b>雷当<b> (<cost>)\n生产北欧剑士消耗额外的食物，而不消耗黄金。"
396354 "研究<b>盾墙<b> (<cost>)\n步兵可伤害邻近单位。"
396355 "研究<b>乌尔夫贝特剑<b> (<cost>)\n步兵拥有 +4 攻击力。"
396356 "丹麦战斧"
396357 "研究<b>丹麦战斧<b> (<cost>)\n步兵对付骑兵时可获得攻击加成，并可从平民单位获得额外的黄金。"
396358 "河流突袭"
396359 "芒刺斧"
396360 "狼斗篷"
396361 "研究<b>河流突袭<b> (<cost>)\n北欧剑士移动速度提高 30%。"
396362 "研究<b>芒刺斧<b> (<cost>)\n掷斧兵和雅尔获得 +1 射程。"
396363 "研究<b>狼斗篷<b> (<cost>)\n夜间攻击加成翻倍为 +4 攻击力。"
396364 "罗马城墙"
396365 "+ 完成 50 个传奇目标中的 <Saga Count>/30。"
396366 "+ 占领约姆斯堡以击败约姆斯维京。"
396367 "自由游戏：在战士大厅宣告胜利即可退出剧本。"
396368 "\n任务：拉格纳的传奇 (<Ragnar Saga Count>/9 个目标)\n成为北欧之王。"
396369 "   已找到盾女拉葛莎，并已击败她的熊和猎犬。"
396370 "   已在哥得兰岛上从巨蛇口中救下索拉·佛特斯-哈特。"
396371 "   已找到伪装成农民女儿克拉卡的阿斯劳格。"
396372 "   已从埃斯泰因·贝里首领手里偷走奶牛西贝贾。"
396373 "   已击败埃斯泰因·贝里首领。"
396374 "   已成为挪威国王。"
396375 "   已成为瑞典国王。"
396376 "   已成为丹麦国王。"
396377 "   已洗劫巴黎。"
396378 "\n任务：拉格纳之子的传奇 (<Saga of Ragnar Sons Count>/7 个目标)\n突袭、征服并在英格兰定居。"
396379 "   已洗劫约克。"
396380 "   已杀死诺森布里亚埃拉国王。"
396381 "   已洗劫伦敦堡 (伦敦)。"
396382 "   已杀死盎格利亚埃德蒙国王。"
396383 "   已在英格兰建造一个聚落。"
396384 "   已在英格兰建造一个雅尔首领领地。"
396385 "   已组织异教徒大军。"
396386 "\n任务：赫尔罗夫·克拉奇的传奇 (<Hrolfr Kraki Saga Count>/2 个目标)\n在瑞典和丹麦寻找国王的遗产。"
396387 "   已在赫尔罗夫·克拉奇的坟冢发现他的剑。"
396388 "   已在瑞典的菲里斯荒原找到赫尔罗夫·克拉奇的黄金。"
396389 "\n任务：多雷斯塔德的罗里克传说 (<Hrorek Saga Count>/4 个目标)\n突袭撒克逊人土地上的法兰克人。"
396390 "   已在弗里西亚招募罗里克。"
396391 "   已占领多雷斯塔德。"
396392 "   已摧毁莱茵河上的塔楼。"
396393 "   已掠夺易北河沿岸的村庄。"
396394 "\n任务：奥克尼加传奇 (<Orkneyinga Saga Count>/5 个目标)\n探索并定居于北部群岛。"
396395 "   已招募埃斯坦森兄弟，西格德和拉格瓦尔德。"
396396 "   已在奥克尼建造一个聚落。"
396397 "   已在设得兰建造一个聚落。"
396398 "   已杀死皮克特巨人梅尔·布里格特。"
396399 "   已掠夺赫布里底群岛的修道院。 "
396400 "\n任务：殖民纪事 (<Landnama Count>/7 个目标)\n探索西面群岛和更远的位置。"
396401 "   已招募“扁鼻”凯提尔和他的女儿，“深思者”奥德。"
396402 "   已招募格里姆·坎班。"
396403 "   已在法罗群岛建造一个聚落。"
396404 "   已在赫布里底群岛建造一个聚落。"
396405 "   已在马恩岛建造一个聚落。"
396406 "   已发现一片冰火之地。"
396407 "   已在冰岛建造一个聚落。"
396408 "\n任务：爱尔兰编年史 (<Ireland Count>/4 个目标)\n突袭并定居爱尔兰。"
396409 "   已招募的“白色”奥拉夫。"
396410 "   已杀死高王梅尔·塞克纳尔。"
396411 "   已洗劫爱尔兰的修道院。"
396412 "   已在爱尔兰建造一个聚落。"
396413 "\n任务：诺曼底公爵编年史 (<Dukes of Normandy Count>/7 个目标)\n突袭并定居在法兰西北部。"
